360安全卫士极速2025 | 15.0.3.1004 | 360安全中心
模板助手桌面版 | 2.0.0.6 | Beijing Yundong Zhixiao Network Technology Co. , Ltd.
双人成行 |  | Hazelight Studios
腾讯会议 | 3.39.1.427 | 腾讯科技(深圳)有限公司
天问Block 版本 V2025 夏季版 | V2025 夏季版 | 杭州天问五幺科技有限公司
微信 | 4.1.8.67 | 腾讯科技(深圳)有限公司
微信开发者工具 1.06.2504010 | 1.06.2504010 | 腾讯科技(广州)有限公司
小黑课堂计算机二级MsOffice题库 版本 5.8 | 5.8 | 湖北小黑课堂教育科技有限公司
小绿鲸英文文献阅读器 | 2.5.3.0 | 见鲸科技（南京）有限公司
小智护眼宝 | 2.0.32.48 | 深圳市常青藤软件科技有限公司
虚拟实验环境 | 5.1.0721 | 安徽省科大奥锐科技有限公司
